H,H,H2FORM,H2,NAN,NAN,NAN,1,0,0,,,
H,#H,ER,#H2,NAN,NAN,NAN,1,0,0,,,
#H,#H,LH,#H2,NAN,NAN,NAN,1,0,0,,,
H2,PHOTON,NAN,H,H,NAN,NAN,1,1,0,,,
#H2,ED,,H2,,,,1,1,0,,,
#H,ED,,H,,,,1,1,0,,,
